nome_completo,sexo,cpf,data_nascimento,email,telefone,endereco_cidade,endereco_estado,curso_matricula_aluno,curso_codigo,curso_data_ingresso,curso_data_prevista_conclusao,curso_data_conclusao,curso_situacao_matricula
Dr. Gael Henrique Garcia,m,290.465.378-38,1990-12-17,joaomontenegro@example.org,+55 66 96231-7965,Cavalcante do Norte,Paraná,188744,4,2023-10-21,2026-12-01,2026-12-01,ativo
Maitê Correia,f,126.857.349-37,1989-02-10,renancosta@example.org,+55 61 92543-6484,Abreu do Oeste,Acre,916129,1,2023-05-24,2026-03-20,2026-03-20,ativo
Benício Vieira,m,062.185.934-60,1988-04-23,campossara@example.org,+55 95 91187-5955,Vasconcelos de Castro,São Paulo,191469,4,2024-05-07,2026-05-16,2026-05-16,ativo
Rafael Campos,m,318.297.460-22,2001-10-18,pireslorena@example.net,+55 54 98045-9253,Teixeira,Mato Grosso do Sul,959252,1,2024-04-24,2026-09-05,2026-09-05,ativo
Sophia Caldeira,f,310.567.824-71,1987-10-15,carvalhodanilo@example.org,+55 45 98533-4622,Marques,São Paulo,917171,4,2024-06-01,2025-11-02,2025-11-02,ativo
Sr. Otávio Ribeiro,m,701.489.263-04,1996-01-07,rafaelfogaca@example.com,+55 25 93217-7475,Pires de Câmara,Acre,346302,4,2023-12-04,2026-02-14,2026-02-14,ativo
Pietra Monteiro,f,435.692.807-56,2002-09-05,renanda-conceicao@example.com,+55 56 93155-3115,Cassiano,Acre,671869,4,2023-02-21,2025-09-07,2025-09-07,ativo
Luara Brito,f,795.431.620-34,1980-10-07,vicente05@example.com,+55 87 93679-4882,Gonçalves,Amapá,322144,2,2024-06-22,2025-08-07,2025-08-07,ativo
Vitor Gabriel Monteiro,m,685.024.973-83,1988-04-15,arthur-gabriel52@example.com,+55 38 98543-2695,Fogaça Verde,Rio de Janeiro,197834,2,2023-09-09,2026-12-19,2026-12-19,ativo
Davi Alves,m,510.743.982-97,1995-05-24,rnunes@example.org,+55 46 98646-3474,Gonçalves,Amapá,946330,2,2024-10-01,2026-03-15,2026-03-15,ativo
Maya Guerra,f,150.948.627-58,1981-02-09,fonsecacarlos-eduardo@example.com,+55 10 96883-5531,Souza de Borges,Paraíba,247278,2,2024-02-23,2025-12-09,2025-12-09,cancelado
Maria Flor Santos,f,576.123.849-73,1996-08-18,eda-mata@example.com,+55 75 96595-6840,da Luz do Norte,Mato Grosso,586818,5,2024-02-26,2025-05-02,2025-05-02,ativo
Sra. Alícia Andrade,f,469.230.781-13,1989-03-09,ryancosta@example.net,+55 28 97535-4126,Vieira,Mato Grosso do Sul,959646,2,2024-04-07,2026-09-05,2026-09-05,trancado
Alícia Nascimento,f,930.164.852-06,2005-11-23,mariada-mata@example.com,+55 71 93274-3491,Novaes,Mato Grosso do Sul,481760,4,2024-09-18,2026-03-19,2026-03-19,trancado
Ana Gonçalves,f,531.209.876-03,1996-08-25,cardosoerick@example.org,+55 55 95502-3297,Lima,Distrito Federal,497883,4,2023-12-07,2025-09-29,2025-09-29,ativo
Luiz Gustavo da Mota,m,946.258.137-19,1983-02-07,maria-julia71@example.org,+55 88 99397-9882,Costa Grande,Distrito Federal,476653,4,2023-12-31,2026-05-14,2026-05-14,ativo
Joana Fernandes,f,213.950.784-32,2005-08-22,abreuluisa@example.com,+55 19 92150-4102,Macedo,Rondônia,826557,1,2023-04-07,2026-07-27,2026-07-27,ativo
Maria Luiza Gonçalves,f,638.927.510-21,2003-05-23,nrezende@example.com,+55 83 98425-3179,Borges,Pernambuco,244023,1,2023-11-12,2026-03-22,2026-03-22,ativo
Marcos Vinicius Macedo,m,350.847.621-90,1985-04-16,nicolecamara@example.org,+55 74 99140-9267,Câmara,Sergipe,207188,4,2023-11-10,2026-06-30,2026-06-30,ativo
Maria Isis Castro,f,067.259.184-76,1996-12-31,dporto@example.net,+55 21 99026-6156,Pereira,São Paulo,201682,2,2023-12-03,2026-04-06,2026-04-06,ativo
Aylla Vargas,f,647.052.983-65,2000-02-07,hleao@example.com,+55 90 95446-5405,Azevedo,Santa Catarina,548094,3,2023-06-01,2026-01-09,2026-01-09,ativo
Raquel Moraes,f,140.586.923-24,2005-04-18,krios@example.net,+55 60 94310-6671,Moura,Roraima,944589,4,2024-02-10,2026-01-12,2026-01-12,ativo
Marina Camargo,f,382.409.165-89,2002-12-02,francisco68@example.org,+55 26 92316-5894,Sousa de Fonseca,Rio de Janeiro,595053,1,2023-12-12,2025-12-04,2025-12-04,ativo
Sr. Arthur Lopes,m,416.908.352-06,1989-08-19,ana-luiza05@example.com,+55 45 97297-2406,Rodrigues do Campo,Paraná,500659,5,2024-01-31,2025-09-22,2025-09-22,ativo
Lucas Gabriel Alves,m,320.519.864-60,1999-08-26,montenegrodavi-miguel@example.net,+55 64 94516-3898,Correia do Campo,Sergipe,207413,1,2024-05-01,2026-05-06,2026-05-06,ativo
Rafaela Campos,f,092.346.815-33,1990-04-12,caroline16@example.com,+55 61 94217-8271,Marques,Distrito Federal,907350,1,2024-03-04,2025-11-14,2025-11-14,ativo
Heitor Porto,m,781.065.394-66,1997-12-28,maria-eduardacarvalho@example.com,+55 75 92779-2658,Freitas,Sergipe,246662,2,2024-07-28,2025-10-20,2025-10-20,ativo
Sr. Felipe Almeida,m,745.968.123-73,1990-06-19,benicio95@example.net,+55 56 99255-5212,Castro Verde,Maranhão,202811,2,2023-03-12,2025-09-24,2025-09-24,ativo
Raquel Martins,f,951.764.830-84,1993-06-08,carvalhoanthony-gabriel@example.org,+55 23 92947-6264,Nunes do Oeste,Distrito Federal,771453,2,2024-04-24,2025-11-16,2025-11-16,ativo
Arthur Gabriel Sales,m,917.234.056-80,1999-09-06,juanferreira@example.com,+55 58 96189-2531,Fonseca,Ceará,329889,2,2023-07-02,2026-05-07,2026-05-07,ativo
Aylla da Luz,f,938.541.706-10,1995-12-03,nuneshellena@example.com,+55 61 91164-1097,Cirino da Serra,Rio Grande do Norte,531938,1,2023-12-11,2025-06-20,2025-06-20,ativo
João Guilherme Fogaça,m,874.521.903-60,1990-01-25,asafe83@example.net,+55 51 96788-5047,Fogaça,Distrito Federal,963278,3,2023-10-08,2025-08-11,2025-08-11,cancelado
Laís Borges,f,176.508.934-48,1993-01-04,brenda94@example.org,+55 49 95136-3520,Mendonça de Brito,Santa Catarina,876805,4,2024-07-01,2026-06-07,2026-06-07,ativo
Davi Miguel Câmara,m,691.507.284-58,1994-09-20,joao-miguelrodrigues@example.org,+55 33 95413-6216,Carvalho,Amazonas,549915,1,2023-03-30,2025-06-13,2025-06-13,trancado
Ana Luiza Araújo,f,217.493.560-07,1986-01-05,ester27@example.org,+55 47 93236-5369,Azevedo de Moreira,Paraíba,348563,5,2024-09-14,2026-02-28,2026-02-28,trancado
Bento Leão,m,582.631.940-24,1990-07-03,hellena22@example.net,+55 33 99662-2023,Albuquerque de da Costa,Acre,289845,4,2023-09-26,2026-04-07,2026-04-07,ativo
Sr. Juan Lima,m,850.273.461-07,1995-07-13,das-nevesantony@example.org,+55 89 99829-4246,Casa Grande,Goiás,598120,2,2024-09-10,2025-01-01,2025-01-01,ativo
Manuela Cavalcante,f,715.492.680-58,2001-12-16,franciscofarias@example.com,+55 64 96808-6057,Camargo do Norte,Mato Grosso do Sul,826753,5,2023-02-15,2026-06-05,2026-06-05,ativo
Theodoro da Cunha,m,451.620.378-26,1986-07-25,estheralbuquerque@example.net,+55 65 95824-5290,Nascimento da Prata,Amapá,927911,2,2024-04-13,2025-03-13,2025-03-13,ativo
Lucas Borges,m,152.934.678-91,1984-04-03,icostela@example.org,+55 88 97646-3767,Silva de Novaes,Rio Grande do Sul,240344,4,2023-05-30,2026-08-12,2026-08-12,ativo
Júlia Marques,f,465.871.309-84,1981-06-04,fariashenrique@example.com,+55 63 96676-1704,Aragão do Norte,Goiás,667164,1,2024-03-15,2026-01-26,2026-01-26,cancelado
João da Paz,m,958.426.103-70,2002-08-19,siqueiraarthur-gabriel@example.com,+55 78 93128-4236,Casa Grande de Minas,Mato Grosso do Sul,205317,3,2024-03-31,2026-12-07,2026-12-07,ativo
Dr. Thomas Duarte,m,763.951.280-86,1998-05-06,garciamaria-julia@example.net,+55 78 98817-8852,Garcia,São Paulo,978104,2,2023-08-29,2026-02-03,2026-02-03,ativo
Laura Mendes,f,174.902.856-58,1999-03-30,anapinto@example.net,+55 80 92133-2429,Pastor do Sul,Mato Grosso,574807,3,2023-01-31,2025-09-10,2025-09-10,ativo
Vicente Borges,m,905.837.421-14,1990-08-18,anthony-gabrielcorreia@example.net,+55 23 93536-8627,Porto,Rondônia,567840,5,2024-08-20,2025-12-23,2025-12-23,ativo
Srta. Luna Araújo,f,368.015.749-57,1989-04-10,paragao@example.org,+55 46 91348-2022,Leão,Sergipe,100971,2,2023-12-26,2025-12-27,2025-12-27,ativo
Sarah Costela,f,085.213.947-05,1994-05-26,teixeiraantonio@example.org,+55 43 92200-2509,da Cunha dos Dourados,Pará,296927,2,2023-09-30,2025-11-30,2025-11-30,ativo
Augusto Ferreira,m,876.153.409-93,2005-09-09,da-cruzevelyn@example.com,+55 60 93625-6284,Guerra das Pedras,Tocantins,438945,4,2024-02-04,2026-04-26,2026-04-26,ativo
Sra. Luna da Cruz,f,375.012.649-61,2005-08-11,ycavalcante@example.net,+55 61 98656-6641,Monteiro,Ceará,750945,2,2023-03-07,2026-05-23,2026-05-23,ativo
Paulo Costela,m,103.456.728-44,1999-12-12,alicemoura@example.com,+55 52 91178-8803,Souza do Oeste,Mato Grosso,769665,4,2023-04-06,2026-02-27,2026-02-27,ativo
Rafael Macedo,m,726.498.351-09,1990-12-28,fdias@example.com,+55 76 98332-7142,Machado,Rio Grande do Norte,993855,4,2023-04-19,2026-05-22,2026-05-22,ativo
Maria Júlia Nunes,f,805.379.416-57,1981-12-15,antonioduarte@example.net,+55 28 93382-9124,Rodrigues,Paraná,143953,4,2023-03-24,2025-08-27,2025-08-27,trancado
Matheus Gonçalves,m,603.428.597-65,2002-12-05,da-rosalevi@example.org,+55 63 94653-7994,Sales de Melo,Paraná,264467,3,2023-11-27,2025-01-25,2025-01-25,ativo
Dr. Samuel Macedo,m,704.389.612-69,1999-05-13,gabriellymoreira@example.com,+55 57 97589-4995,Albuquerque,Bahia,446655,2,2023-07-15,2025-02-13,2025-02-13,ativo
Renan Dias,m,908.165.274-58,1990-06-02,miguelvasconcelos@example.net,+55 59 98016-3264,Sá do Sul,Sergipe,249795,2,2023-08-13,2025-09-04,2025-09-04,ativo
Diego Pires,m,063.184.927-04,1987-05-10,jade41@example.org,+55 64 94184-9008,Duarte das Pedras,Paraíba,312573,3,2023-05-09,2025-08-28,2025-08-28,ativo
